"","site","species","resp.ratio.site_D","resp.ratio.site_PD","SE.RII_D","SE.RII_PD","persistence.site","mean.ctrl.cov","percrank","absrank","spatial_rarity","temporal_rarity"
"252","KNZ","Bouteloua_hirsuta",1,NA,0,NA,0,0,0,9.5,1,1
"253","KNZ","Carex_brevior",-0.022222222222222,0.0796460176991152,0.0168630100297259,0.0198122087495869,1,0.619444444444444,0.795454545454545,71,0.204545454545455,0
"254","KNZ","Carex_gravida",6.93889390390721e-17,1,0.499999999999997,0,0.111111111111111,0.00277777777777778,0.204545454545455,22.5,0.795454545454545,0.888888888888889
"255","KNZ","Carex_heliophyla",0.199570815450644,0.28,0.0032188517297879,0.00395098551251444,1,4.46111111111111,0.920454545454545,82,0.0795454545454546,0
"256","KNZ","Carex_meadii",-0.0308747855917667,-0.128651973347002,0.00200923229587347,0.00144699787871385,1,11.2333333333333,0.965909090909091,86,0.0340909090909091,0
"257","KNZ","Cirsium_sp",NA,0,NA,0.499999999999997,0.111111111111111,0.00277777777777778,0.204545454545455,22.5,0.795454545454545,0.888888888888889
"258","KNZ","Cyperus_lupulinus",0.0909090909090909,0.0666666666666669,0.0876319150279712,0.135547418277816,0.777777777777778,0.0361111111111111,0.545454545454545,49,0.454545454545455,0.222222222222222
"259","KNZ","Dalea_candida",0.272727272727272,0.230769230769231,0.0814323866079533,0.0703406988134875,0.888888888888889,0.0666666666666667,0.602272727272727,54,0.397727272727273,0.111111111111111
"260","KNZ","Dalea_purpurea",0.692307692307692,0.8,0.0319845045328338,0.0271144654088049,0.555555555555556,0.0277777777777778,0.534090909090909,48,0.465909090909091,0.444444444444444
"261","KNZ","Desmodium_illinoense",NA,1,NA,0,0,0,0,9.5,1,1
"262","KNZ","Dicanthelium_acuminatum",-0.703703703703703,-0.9,0.0413103478629168,0.0108047169811322,0.888888888888889,0.122222222222222,0.693181818181818,62,0.306818181818182,0.111111111111111
"263","KNZ","Dicanthelium_oligosanthes",-0.155615696887686,-0.147180192572215,0.0025298466078861,0.00296236951885778,1,2.69166666666667,0.886363636363636,79,0.113636363636364,0
"264","KNZ","Eleocharis_sp.",-1,-1,0,0,0.777777777777778,0.194444444444445,0.727272727272727,65,0.272727272727273,0.222222222222222
"265","KNZ","Eragrostis_spectabilis",-0.570469798657717,-0.542857142857142,0.0266628091502151,0.0436458477730716,1,0.858333333333333,0.829545454545455,74,0.170454545454545,0
"266","KNZ","Erigeron_strigosus",-1.38777878078144e-16,-0.454545454545455,0.499999999999997,0.0516306624070681,0.444444444444444,0.0472222222222221,0.579545454545455,52,0.420454545454545,0.555555555555556
"267","KNZ","Euphorbia_marginata",-1,-1,0,0,0.444444444444444,0.0166666666666667,0.5,45,0.5,0.555555555555556
"268","KNZ","Euphorbia_sp.",-0.311827956989248,0.0718232044198897,0.00493199891022712,0.00667036084944804,1,0.647222222222222,0.818181818181818,73,0.181818181818182,0
"269","KNZ","Juncus_interior",1,1,0,0,0,0,0,9.5,1,1
"270","KNZ","Koeleria_macrantha",-0.0980392156862742,0.365853658536585,0.0383760713802868,0.029722303402929,0.888888888888889,0.197222222222222,0.738636363636364,66,0.261363636363636,0.111111111111111
"271","KNZ","Kuhnia_eupatoroides",1,1,0,0,0,0,0,9.5,1,1
"272","KNZ","Lactuca_serriola",NA,-0.333333333333333,NA,0.295675130056681,0.222222222222222,0.00555555555555557,0.375,34.5,0.625,0.777777777777778
"273","KNZ","Lepidium_densiflorum",-1,NA,0,NA,0.111111111111111,0.00277777777777779,0.295454545454545,28.5,0.704545454545455,0.888888888888889
"274","KNZ","Lespedeza_capitata",-0.15625,-0.773913043478261,0.067234756061866,0.0105717776350042,1,0.405555555555556,0.784090909090909,70,0.215909090909091,0
"275","KNZ","Lespedeza_violacea",0.714285714285714,NA,0.0696565110449261,NA,0.222222222222222,0.00555555555555557,0.420454545454545,38.5,0.579545454545455,0.777777777777778
"276","KNZ","Liatris_punctata",1,1,0,0,0,0,0,9.5,1,1
"277","KNZ","Linum_sulcatum",-1,-1,0,0,0.777777777777778,0.0388888888888889,0.556818181818182,50,0.443181818181818,0.222222222222222
"278","KNZ","Medicago_lupulina",1,NA,0,NA,0,0,0,9.5,1,1
"279","KNZ","Oenothera_speciosa",NA,1,NA,0,0,0,0,9.5,1,1
"280","KNZ","Oxalis_stricta",-0.658536585365853,0.128205128205128,0.0144267654606913,0.0250259463346874,0.777777777777778,0.161111111111111,0.715909090909091,64,0.284090909090909,0.222222222222222
"281","KNZ","Oxalis_violacea",-0.333333333333333,NA,0.29567513005668,NA,0.111111111111111,0.00555555555555557,0.397727272727273,36.5,0.602272727272727,0.888888888888889
"282","KNZ","Panicum_capillare",NA,1,NA,0,0,0,0,9.5,1,1
"283","KNZ","Panicum_virgatum",-1,-0.962043795620438,0,0.000609769081510422,1,4.23888888888889,0.909090909090909,81,0.0909090909090909,0
"284","KNZ","Pascopyrum_smithii",NA,1,NA,0,0,0,0,9.5,1,1
"285","KNZ","Physalis_pumila",0.21311475409836,0.327272727272727,0.0232964391583603,0.0196323390977091,1,0.275,0.772727272727273,69,0.227272727272727,0
"286","KNZ","Plantago_rhodosperma",NA,1,NA,0,0.111111111111111,0.00277777777777779,0.340909090909091,31,0.659090909090909,0.888888888888889
"287","KNZ","Poa_pratensis",1,NA,0,NA,0.111111111111111,0.00277777777777779,0.352272727272727,32,0.647727272727273,0.888888888888889
"288","KNZ","Polygala_verticillata",1,-1,0,0,0.111111111111111,0.00555555555555557,0.375,34.5,0.625,0.888888888888889
"289","KNZ","Psoralea_tenuiflora",0.413813116656994,0.223262032085562,0.0078490578787471,0.00978882143478663,1,3.40833333333333,0.897727272727273,80,0.102272727272727,0
"290","KNZ","Ratibida_columnifera",-1,-0.583333333333333,0,0.0711088242002485,0.666666666666667,0.0694444444444443,0.625,56,0.375,0.333333333333333
"291","KNZ","Rhus_glabra",-1,NA,0,NA,0.222222222222222,0.00555555555555557,0.443181818181818,40,0.556818181818182,0.777777777777778
"292","KNZ","Ruellia_humilis",-0.164345403899721,-0.056122448979592,0.0101194638580944,0.0117850686021726,1,1.30833333333333,0.875,78,0.125,0
"293","KNZ","Salvia_azurea",-1,-1,0,0,1,0.208333333333333,0.75,67,0.25,0
"294","KNZ","Schizachyrium_scoparium",-0.334071613141381,-0.408838643371017,0.00414355257407088,0.00393888825562224,1,21.7138888888889,0.977272727272727,87,0.0227272727272727,0
"295","KNZ","Schrankia_nutallii",1,0.833333333333333,0,0.0299882560757824,0.111111111111111,0.00555555555555557,0.420454545454545,38.5,0.579545454545455,0.888888888888889
"296","KNZ","Senecio_plattensis",1,NA,0,NA,0,0,0,9.5,1,1
"297","KNZ","Silene_antirrhina",NA,NA,NA,NA,0,0,0,9.5,1,1
"298","KNZ","Sisynchrium_campestre",0.749999999999999,0.538461538461538,0.0662219929245285,0.0342112292370363,0.222222222222222,0.0194444444444444,0.511363636363636,46,0.488636363636364,0.777777777777778
"299","KNZ","Solidago_canadensis",-1,-2.77555756156289e-16,0,0.032669461914745,0.555555555555556,0.0694444444444443,0.613636363636364,55,0.386363636363636,0.444444444444444
"300","KNZ","Solidago_missouriensis",-0.156626506024096,-0.212121212121212,0.0454093831461296,0.030385789260699,1,0.64722222222222,0.806818181818182,72,0.193181818181818,0
"301","KNZ","Sonchus_asper",-1,NA,0,NA,0.111111111111111,0.00277777777777778,0.204545454545455,22.5,0.795454545454545,0.888888888888889
"302","KNZ","Sorghastrum_nutans",-0.146261859582543,-0.11629968967046,0.000897541222313541,0.00148887314989582,1,34.6527777777778,0.988636363636364,88,0.0113636363636364,0
"303","KNZ","Sporobolus_asper",-0.667320517850137,-0.564102564102564,0.00290479233678312,0.00380738015434919,1,9.80833333333333,0.954545454545455,85,0.0454545454545454,0
"304","KNZ","Taraxacum_officinale",-1,1,0,0,0.111111111111111,0.00555555555555557,0.397727272727273,36.5,0.602272727272727,0.888888888888889
"305","KNZ","Teucrium_canadense",-1,-1,0,0,0.666666666666667,0.252777777777777,0.761363636363636,68,0.238636363636364,0.333333333333333
"306","KNZ","Tragia_racemosa",NA,-1,NA,0,0.111111111111111,0.00277777777777778,0.204545454545455,22.5,0.795454545454545,0.888888888888889
"307","KNZ","UNKFKNZ1",-1,NA,0,NA,0.111111111111111,0.00277777777777779,0.295454545454545,28.5,0.704545454545455,0.888888888888889
"308","KNZ","UNKFKNZ2",1,NA,0,NA,0,0,0,9.5,1,1
"309","KNZ","UNKTRKNZ1",-0.6,NA,0.127516981132075,NA,0.111111111111111,0.0111111111111111,0.465909090909091,42,0.534090909090909,0.888888888888889
"310","KNZ","UNKTRKNZ2",-1,NA,0,NA,0.111111111111111,0.00277777777777779,0.295454545454545,28.5,0.704545454545455,0.888888888888889
"311","KNZ","Ulmus_americana",0,NA,0.0974842767295598,NA,0.111111111111111,0.0138888888888889,0.488636363636364,44,0.511363636363636,0.888888888888889
"312","KNZ","Ulmus_sp.",NA,-1,NA,0,0.111111111111111,0.00833333333333336,0.454545454545455,41,0.545454545454545,0.888888888888889
"313","KNZ","Unknown_Seedling",NA,0.666666666666666,NA,0.0984160260889817,0.111111111111111,0.00277777777777778,0.204545454545455,22.5,0.795454545454545,0.888888888888889
"314","KNZ","Unknown_ericoides_small",NA,-1,NA,0,0.111111111111111,0.00277777777777778,0.204545454545455,22.5,0.795454545454545,0.888888888888889
"315","KNZ","Verbena_stricta",-0.199999999999999,0.0232558139534886,0.12268679245283,0.211039245159322,0.888888888888889,0.0805555555555555,0.647727272727273,58,0.352272727272727,0.111111111111111
"316","KNZ","Vernonia_baldwinii",1,1,0,0,0,0,0,9.5,1,1
"317","KNZ","blob_unknown",NA,1,NA,0,0,0,0,9.5,1,1
"318","KNZ","panicum_unknown",NA,1,NA,0,0,0,0,9.5,1,1
"319","KNZ","unk_rush_unknown",NA,-1,NA,0,0.111111111111111,0.00277777777777778,0.204545454545455,22.5,0.795454545454545,0.888888888888889
"320","SBK","Allionia_incarnata",-0.964783281733746,-0.522076144073768,0.000520587580968722,0.0423010792140857,0.833333333333333,0.262084367245658,0.817073170731707,68,0.182926829268293,0.166666666666667
"321","SBK","Amaranthus_blitoides",NA,-1,NA,0,0.0833333333333333,0.000124069478908189,0.292682926829268,26,0.707317073170732,0.916666666666667
"322","SBK","Aphanostephus_ramosissimus",NA,0.328,NA,0.398203158528001,0.0833333333333333,0.000124069478908189,0.329268292682927,28.5,0.670731707317073,0.916666666666667
"323","SBK","Aristida_adscensionis",NA,-0.351105414931112,NA,0.261164493023757,0.166666666666667,0.00622828784119105,0.51219512195122,43,0.48780487804878,0.833333333333333
"324","SBK","Aristida_purpurea",NA,-1,NA,0,0.0833333333333333,0.000248138957816378,0.365853658536585,31.5,0.634146341463415,0.916666666666667
"325","SBK","Astragalus_sp",0.366445916114791,0.832490563350189,0.0226457354683392,0.0149137464050049,0.833333333333333,0.0541687344913152,0.695121951219512,58,0.304878048780488,0.166666666666667
"326","SBK","Bouteloua_barbata",-1,0.403907254725598,0,0.0284889800760635,0.333333333333333,0.10136476426799,0.731707317073171,61,0.268292682926829,0.666666666666667
"327","SBK","Bouteloua_eriopoda",-0.568206807366684,-0.971834733000056,0.00078430384783054,5.89855433346926e-05,1,28.3514143920596,1,83,0,0
"328","SBK","Bouteloua_gracilis",-0.978021978021978,NA,0.000339636591812808,NA,0.0833333333333333,0.0446650124069478,0.682926829268293,57,0.317073170731707,0.916666666666667
"329","SBK","Chaetopappa_ericoides",-0.103896103896105,0.696555979790968,0.347823660271286,0.0377987723675269,0.666666666666667,0.0226302729528536,0.634146341463415,53,0.365853658536585,0.333333333333333
"330","SBK","Chamaesyce_albomarginata",1,0.0310559006211176,0,0.33871212984148,0.0833333333333333,0.00161290322580645,0.463414634146341,39,0.536585365853659,0.916666666666667
"331","SBK","Chamaesyce_lata",0.187945863057537,0.690957413376671,0.04509519833163,0.00961466195756808,1,0.33181141439206,0.865853658536585,72,0.134146341463415,0
"332","SBK","Chamaesyce_revoluta",NA,1,NA,0,0,0,0,10.5,1,1
"333","SBK","Chamaesyce_serpyllifolia",-0.579430319250621,-0.0241397114104296,0.0354414292414416,0.026245627698088,0.416666666666667,0.350124069478908,0.878048780487805,73,0.121951219512195,0.583333333333333
"334","SBK","Chamaesyce_serrula",-0.775765218388169,-0.0461861222444891,0.0112061083007163,0.0364792123997268,0.833333333333333,0.251017369727047,0.804878048780488,67,0.195121951219512,0.166666666666667
"335","SBK","Cryptantha_crassisepala",0.463663890991673,-0.0408788100384921,0.0210243283819159,0.0575398691854776,0.583333333333333,0.236228287841191,0.792682926829268,66,0.207317073170732,0.416666666666667
"336","SBK","Dalea_nana",NA,0.85554600171969,NA,0.028823936470982,0.0833333333333333,2.48138957816378e-05,0.25609756097561,22,0.74390243902439,0.916666666666667
"337","SBK","Dasyochloa_pulchella",-1,-0.133095122312198,0,0.121956487031695,0.333333333333333,0.0160794044665013,0.609756097560976,51,0.390243902439024,0.666666666666667
"338","SBK","Descurainia_pinnata",0.306439674315321,0.362300400788854,0.0737953717603093,0.054512989667208,0.583333333333333,0.200049627791563,0.768292682926829,64,0.231707317073171,0.416666666666667
"339","SBK","Dimorphocarpa_wislizeni",NA,1,NA,0,0,0,0,10.5,1,1
"340","SBK","Echinocereus_fendleri",1,NA,0,NA,0,0,0,10.5,1,1
"341","SBK","Ecinomastus_intertextus",1,NA,0,NA,0,0,0,10.5,1,1
"342","SBK","Enneapogon_desvauxii",-0.583333333333332,-0.248446623161708,0.196992044947201,0.283261833456324,0.25,0.00826302729528536,0.548780487804878,46,0.451219512195122,0.75
"343","SBK","Erigeron_divergens",NA,NA,NA,NA,0.0833333333333333,0.000124069478908189,0.329268292682927,28.5,0.670731707317073,0.916666666666667
"344","SBK","Eriogonum_abertianum",1,0.963455420507382,0,0.000811303813560752,0.416666666666667,0.0110669975186104,0.585365853658537,49,0.414634146341463,0.583333333333333
"345","SBK","Eriogonum_rotundifolium",1,0.554084855065265,0,0.0550071763939702,0.416666666666667,0.0796526054590572,0.707317073170732,59,0.292682926829268,0.583333333333333
"346","SBK","Escobaria_vivipara",1,NA,0,NA,0,0,0,10.5,1,1
"347","SBK","Euphorbia_exstipulata",-0.934835198064711,-0.736964157515244,0.00108573307599915,0.0115254797162109,0.75,0.513250620347395,0.926829268292683,77,0.073170731707317,0.25
